location,geom,latitude,longitude
"(29.9907868706607, -90.1019188497924)",,29.99078687,-90.10191885
"(29.9977373351558, -90.1108679839369)",,29.99773734,-90.11086798
"(29.951009377144, -90.076778292255)",,29.95100938,-90.07677829
"(30.0201259984833, -90.0051950331096)",,30.020126,-90.00519503
"(30.042425368698, -89.9852135296833)",,30.04242537,-89.98521353
"(30.026348122073, -90.0213473959611)",,30.02634812,-90.0213474
"(30.0102163147343, -90.0796992117973)",,30.01021631,-90.07969921
"(29.9359300704108, -90.026980550362)",,29.93593007,-90.02698055
"(29.9266248114572, -90.0204547734171)",,29.92662481,-90.02045477
"(29.9270089564457, -90.0119504195092)",,29.92700896,-90.01195042
"(29.9233963402869, -90.1184310624272)",,29.92339634,-90.11843106
"(29.9667593831187, -90.0665983197075)",,29.96675938,-90.06659832
"(30.0386537390633, -89.9550572052991)",,30.03865374,-89.95505721
"(29.9548259978603, -90.1028085611871)",,29.954826,-90.10280856
"(30.0252627060119, -90.0849900585285)",,30.02526271,-90.08499006
"(30.0109952590854, -90.0179036735044)",,30.01099526,-90.01790367
"(29.9363131907945, -90.0950357669063)",,29.93631319,-90.09503577
"(29.8959745416838, -89.9180313996253)",,29.89597454,-89.9180314
"(29.9751913677748, -90.107317826132)",,29.97519137,-90.10731783
"(30.0386180166107, -89.9568962574878)",,30.03861802,-89.95689626
"(29.9840568714145, -90.1021554532887)",,29.98405687,-90.10215545
"(29.9285493982689, -90.1311583709966)",,29.9285494,-90.13115837
"(30.0439138141121, -89.9717273290749)",,30.04391381,-89.97172733
"(30.0361828226789, -89.9285233393078)",,30.03618282,-89.92852334
"(29.9263836573586, -89.9968911421664)",,29.92638366,-89.99689114
"(29.9504851897022, -90.0742398977602)",,29.95048519,-90.0742399
"(30.0351949724351, -90.0104738555975)",,30.03519497,-90.01047386
"(29.9590656458023, -90.0661456991493)",,29.95906565,-90.0661457
"(29.9500548212829, -90.0690015587502)",,29.95005482,-90.06900156
"(30.0357898342115, -89.9322773001593)",,30.03578983,-89.9322773
"(29.944284387676, -90.129414312117)",,29.94428439,-90.12941431
"(29.9469448299043, -90.1236160924751)",,29.94694483,-90.12361609
"(30.0174737696788, -90.0581051565522)",,30.01747377,-90.05810516
"(30.0399487264594, -89.9580338491337)",,30.03994873,-89.95803385
"(30.0040802064906, -90.1042542174985)",,30.00408021,-90.10425422
"(29.9307377175689, -90.0037499286333)",,29.93073772,-90.00374993
"(30.0142950074141, -89.9676916546833)",,30.01429501,-89.96769165
"(29.938153642619, -90.0358074603344)",,29.93815364,-90.03580746
"(29.9547340258671, -90.1122713396304)",,29.95473403,-90.11227134
"(29.9995777742643, -90.1024088276213)",,29.99957777,-90.10240883
"(29.9404012222135, -90.1036049872953)",,29.94040122,-90.10360499
"(29.9300542801621, -90.0323771429937)",,29.93005428,-90.03237714
"(29.9631365423941, -90.1128876390134)",,29.96313654,-90.11288764
"(30.0227147435063, -90.0699866163699)",,30.02271474,-90.06998662
"(29.9208739175271, -90.0012209602703)",,29.92087392,-90.00122096
"(29.9894044922348, -90.0791095065335)",,29.98940449,-90.07910951
"(29.9678084387498, -90.087153148088)",,29.96780844,-90.08715315
"(29.9499956541784, -90.1068553540542)",,29.94999565,-90.10685535
"(29.9212904728714, -90.0018686504056)",,29.92129047,-90.00186865
"(29.9446056647886, -90.0221237506465)",,29.94460566,-90.02212375
"(29.97815995172, -90.0696393062027)",,29.97815995,-90.06963931
"(30.0165153883939, -90.1046738721028)",,30.01651539,-90.10467387
"(29.9896145478553, -90.0467550767287)",,29.98961455,-90.04675508
"(29.9419666552417, -90.1252502875483)",,29.94196666,-90.12525029
"(29.9977084541805, -90.0612062792401)",,29.99770845,-90.06120628
"(30.0364871914182, -89.9256069420744)",,30.03648719,-89.92560694
"(29.9387594937522, -90.0739760087779)",,29.93875949,-90.07397601
"(29.9700210908995, -90.0301991735121)",,29.97002109,-90.03019917
"(29.9319095908728, -90.0030242414484)",,29.93190959,-90.00302424
"(29.954591322063, -90.1025035515552)",,29.95459132,-90.10250355
"(29.9203546775871, -89.9901033393061)",,29.92035468,-89.99010334
"(29.9675872409912, -90.0761189865248)",,29.96758724,-90.07611899
"(29.9649979399314, -90.0672963575043)",,29.96499794,-90.06729636
"(29.9797301023192, -90.1234814471256)",,29.9797301,-90.12348145
"(29.947365420248, -90.1314137874829)",,29.94736542,-90.13141379
"(29.92755284564, -90.0197075525117)",,29.92755285,-90.01970755
"(29.9354746810419, -90.1139677220642)",,29.93547468,-90.11396772
"(29.939830193921, -90.1230152595819)",,29.93983019,-90.12301526
"(30.0682032305193, -89.9402919050849)",,30.06820323,-89.94029191
"(29.9227721254212, -90.0950982920117)",,29.92277213,-90.09509829
"(29.9716871105671, -90.1204493976223)",,29.97168711,-90.1204494
"(29.9509661259619, -90.1261790976057)",,29.95096613,-90.1261791
"(29.9265467090291, -90.0330383833489)",,29.92654671,-90.03303838
"(29.9477661110946, -90.1063994913008)",,29.94776611,-90.10639949
"(29.9578797536253, -90.0089836036824)",,29.95787975,-90.0089836
"(29.91913845056, -90.0264493580593)",,29.91913845,-90.02644936
"(29.9666819071941, -90.0693834409878)",,29.96668191,-90.06938344
"(29.928121276485, -90.1181519179407)",,29.92812128,-90.11815192
"(30.0113816934179, -90.0155554305966)",,30.01138169,-90.01555543
"(29.961240113122, -90.1172153574791)",,29.96124011,-90.11721536
"(29.9677103980665, -90.1234100981194)",,29.9677104,-90.1234101
"(29.9457548815851, -90.0482339195482)",,29.94575488,-90.04823392
"(29.9900428662856, -90.048035053357)",,29.99004287,-90.04803505
"(29.9330394249996, -90.0130211093806)",,29.93303942,-90.01302111
